name,review count,rating,price rating,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,yelp url
Mister Jiu's,839 reviews,3.5 star rating,$$$$,2019.0,37.79371,-122.406654,San Francisco,California,94108,Chinese,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,1.0,https://www.yelp.com/biz/mister-jius-san-francisco
jū-ni,438 reviews,4.5 star rating,$$$$,2019.0,37.77672,-122.43886,San Francisco,California,94117,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,1.0,https://www.yelp.com/biz/j%C5%AB-ni-san-francisco-5
The Progress,930 reviews,4 star rating,$$$$,2019.0,37.78371,-122.43282,San Francisco,California,94115,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,1.0,https://www.yelp.com/biz/the-progress-san-francisco-2
State Bird Provisions,2904 reviews,4 star rating,$$$,2019.0,37.783737,-122.43283,San Francisco,California,94115,American,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,1.0,https://www.yelp.com/biz/state-bird-provisions-san-francisco
Octavia,614 reviews,4 star rating,$$$,2019.0,37.787857,-122.42709,San Francisco,California,94109,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,1.0,https://www.yelp.com/biz/octavia-san-francisco
SPQR,2013 reviews,3.5 star rating,$$$,2019.0,37.78732,-122.43375,San Francisco,California,94115,Italian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,1.0,https://www.yelp.com/biz/spqr-san-francisco
Kinjo,137 reviews,4 star rating,$$$$,2019.0,37.79699,-122.422005,San Francisco,California,94109,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,1.0,https://www.yelp.com/biz/kinjo-san-francisco-5?osq=kinjo
Sorrel,284 reviews,4 star rating,$$$$,2019.0,37.788334,-122.44614,San Francisco,California,94101,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,1.0,https://www.yelp.com/biz/sorrel-san-francisco-3
Gary Danko,5598 reviews,4.5 star rating,$$$$,2019.0,37.80599,-122.42066,San Francisco,California,94109,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,1.0,https://www.yelp.com/biz/gary-danko-san-francisco
Bar Crenn,99 reviews,4 star rating,$$$$,2019.0,37.798435,-122.43581,San Francisco,California,94101,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,1.0,https://www.yelp.com/biz/bar-crenn-san-francisco
Spruce,2054 reviews,4 star rating,$$$$,2019.0,37.78772,-122.45264,San Francisco,California,94118,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,1.0,https://www.yelp.com/biz/spruce-san-francisco
Madcap,311 reviews,4.5 star rating,$$$$,2019.0,37.974712,-122.56168,San Francisco,California,94960,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,1.0,https://www.yelp.com/biz/madcap-san-anselmo
Aubergine,260 reviews,4 star rating,$$$$,2019.0,36.55406,-121.924355,Monterey,California,93921,Contemporary,$$$$,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,1.0,https://www.yelp.com/biz/aubergine-carmel-by-the-sea-2?osq=auberge+du+soleil
La Toque,675 reviews,3.5 star rating,$$$$,2019.0,38.30351,-122.28349,San Francisco,California,94573,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,1.0,https://www.yelp.com/biz/la-toque-napa?osq=la+toque
Bouchon,3178 reviews,4 star rating,$$$,2019.0,38.40258,-122.3619,San Francisco,California,94599,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1.0,https://www.yelp.com/biz/bouchon-yountville?osq=bouchon
Auberge du Soleil,389 reviews,4.5 star rating,$$$$,2019.0,38.49199,-122.40534,San Francisco,California,94573,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1.0,https://www.yelp.com/biz/auberge-du-soleil-rutherford-2?osq=auberge+du+soleil
Madrona Manor,282 reviews,4.5 star rating,$$$$,2019.0,38.60428,-122.88647,San Francisco,California,95448,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,1.0,https://www.yelp.com/biz/madrona-manor-healdsburg-2?osq=madrona+manor
Shin Sushi,120 reviews,4.5 star rating,$$$$,2019.0,34.15784,-118.49415,Los Angeles,California,91436,Japanese,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1.0,https://www.yelp.com/biz/shin-sushi-los-angeles-2?osq=shin+sushi
Rustic Canyon,1374 reviews,4 star rating,$$$,2019.0,34.024952,-118.49118,Los Angeles,California,90401,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1.0,https://www.yelp.com/biz/rustic-canyon-santa-monica?osq=rustic+canyon
Kato,383 reviews,4.5 star rating,$$$$,2019.0,34.041683,-118.460915,Los Angeles,California,90025,Asian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1.0,https://www.yelp.com/biz/kato-los-angeles
Nozawa Bar,241 reviews,4.5 star rating,$$$$,2019.0,34.0683,-118.39849,Los Angeles,California,90210,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1.0,https://www.yelp.com/biz/nozawa-bar-beverly-hills-3
Maude,441 reviews,4 star rating,$$$$,2019.0,34.064346,-118.39904,Los Angeles,California,90212,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1.0,https://www.yelp.com/biz/maude-beverly-hills
Mori Sushi,334 reviews,4 star rating,$$$$,2019.0,34.033398,-118.44229,Los Angeles,California,90064,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1.0,https://www.yelp.com/biz/mori-sushi-los-angeles
Osteria Mozza,2975 reviews,4 star rating,$$$$,2019.0,34.08342,-118.338974,Los Angeles,California,90028,Italian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1.0,https://www.yelp.com/biz/osteria-mozza-los-angeles
Le Comptoir,158 reviews,4 star rating,$$$$,2019.0,34.06354,-118.30057,Los Angeles,California,90020,Californian,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1.0,https://www.yelp.com/biz/le-comptoir-los-angeles-3
Q Sushi,249 reviews,4 star rating,$$$$,2019.0,34.046883,-118.255844,Los Angeles,California,90017,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1.0,https://www.yelp.com/biz/q-sushi-los-angeles-4
Shibumi,366 reviews,3.5 star rating,$$$$,2019.0,34.044155,-118.256134,Los Angeles,California,90014,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1.0,https://www.yelp.com/biz/shibumi-los-angeles
Hayato,105 reviews,4.5 star rating,$$$$,2019.0,34.03311,-118.24265,Los Angeles,California,90001,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1.0,https://www.yelp.com/biz/hayato-los-angeles-3
Bistro Na's,1128 reviews,4 star rating,$$,2019.0,34.104412,-118.07159,Los Angeles,California,91780,Chinese,$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1.0,https://www.yelp.com/biz/bistro-nas-temple-city-10
Orsa & Winston,535 reviews,4 star rating,$$$$,2019.0,33.92145,-118.275406,Los Angeles,California,90013,Fusion,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1.0,https://www.yelp.com/biz/orsa-and-winston-los-angeles
Addison,478 reviews,4.5 star rating,$$$$,2019.0,32.939903,-117.20013,San Diego,California,92130,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1.0,https://www.yelp.com/biz/addison-san-diego-5?osq=addison
Baumé,342 reviews,3.5 star rating,$$$$,2019.0,37.4285,-122.14272,South San Francisco,California,94306,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/baume,2.0,https://www.yelp.com/biz/baum%C3%A9-palo-alto-5?osq=baume
Commis,1059 reviews,4.5 star rating,$$$$,2019.0,37.82476,-122.25505,San Francisco,California,94601,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commis,2.0,https://www.yelp.com/biz/commis-oakland-3?osq=commis
Californios,326 reviews,4.5 star rating,$$$$,2019.0,37.75555,-122.417145,San Francisco,California,94110,Mexican,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios,2.0,https://www.yelp.com/biz/californios-san-francisco
Lazy Bear,693 reviews,4.5 star rating,$$$$,2019.0,37.760204,-122.41969,San Francisco,California,94110,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear,2.0,https://www.yelp.com/biz/lazy-bear-san-francisco-5
Saison,570 reviews,4 star rating,$$$$,2019.0,37.76327,-122.41543,San Francisco,California,94107,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/saison,2.0,https://www.yelp.com/biz/saison-san-francisco-2
Campton Place,738 reviews,4 star rating,$$$$,2019.0,37.78923,-122.40665,San Francisco,California,94108,Indian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/campton-place,2.0,https://www.yelp.com/biz/campton-place-san-francisco
Coi,783 reviews,4 star rating,$$$$,2019.0,37.79812,-122.40331,San Francisco,California,94133,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/coi,2.0,http://www.yelp.com/biz/coi-san-francisco
Acquerello,1168 reviews,4.5 star rating,$$$$,2019.0,37.79167,-122.42131,San Francisco,California,94109,Italian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,2.0,https://www.yelp.com/biz/acquerello-san-francisco
Providence,2766 reviews,4.5 star rating,$$$$,2019.0,34.083523,-118.33019,Los Angeles,California,90028,Seafood,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence,2.0,https://www.yelp.com/biz/providence-los-angeles-2
n/naka,844 reviews,4.5 star rating,$$$$,2019.0,34.02526,-118.41206,Los Angeles,California,90034,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/n-naka,2.0,https://www.yelp.com/biz/n-naka-los-angeles
Vespertine,303 reviews,4.5 star rating,$$$$,2019.0,34.024204,-118.38166,Los Angeles,California,90232,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/vespertine,2.0,https://www.yelp.com/biz/vespertine-culver-city
Manresa,1259 reviews,4 star rating,$$$$,2019.0,37.22761,-121.98071,South San Francisco,California,95030,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/manresa,3.0,https://www.yelp.com/biz/manresa-los-gatos-2?osq=manresa
Benu,1110 reviews,4.5 star rating,$$$$,2019.0,37.78521,-122.39876,San Francisco,California,94105,Asian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/benu,3.0,https://www.yelp.com/biz/benu-san-francisco-4
Quince,1521 reviews,4 star rating,$$$$,2019.0,37.79762,-122.40337,San Francisco,California,94133,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/quince,3.0,https://www.yelp.com/biz/quince-san-francisco
Atelier Crenn,787 reviews,4.5 star rating,$$$$,2019.0,37.79835,-122.43586,San Francisco,California,94123,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/atelier-crenn,3.0,https://www.yelp.com/biz/atelier-crenn-san-francisco
The French Laundry,2751 reviews,4.5 star rating,$$$$,2019.0,38.40443,-122.36474,San Francisco,California,94599,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-french-laundry,3.0,http://www.yelp.com/biz/the-french-laundry-yountville-2
