name,rating,review_count,price,latitude,longitude,stars,latBin,lonBin,michelin
Chez TJ,4,735,4,37.39468,-122.08044,1,37.2,-122.2,y
Protégé,4.5,348,4,37.427853,-122.14362,1,37.4,-122.2,y
Madera,3.5,886,3,37.42014,-122.21151,1,37.4,-122.4,y
The Village Pub,4,1088,4,37.42897,-122.25178,1,37.4,-122.4,y
Plumed Horse,4,1244,4,37.25648,-122.03537,1,37.2,-122.2,y
Wakuriya,4.5,535,4,37.52114,-122.3366,1,37.4,-122.4,y
Sushi Yoshizumi,4.5,318,4,37.565075,-122.3211,1,37.4,-122.4,y
Maum,4.5,63,4,37.72669,-122.414215,1,37.6,-122.60000000000001,y
Aster,4,384,4,37.755054,-122.423134,1,37.6,-122.60000000000001,y
Omakase,4.5,552,4,37.77077,-122.40298,1,37.6,-122.60000000000001,y
Commonwealth,4,1048,4,37.761395,-122.41946,1,37.6,-122.60000000000001,y
Luce,4,771,3,37.78194,-122.40498,1,37.6,-122.60000000000001,y
Birdsong,4.5,326,4,37.779495,-122.41048,1,37.6,-122.60000000000001,y
In Situ,3.5,497,3,37.785633,-122.40113,1,37.6,-122.60000000000001,y
Hashiri,4.5,120,4,37.783062,-122.40754,1,37.6,-122.60000000000001,y
Angler,3.5,409,4,37.793167,-122.39213,1,37.6,-122.4,y
Rich Table,4,1358,3,37.774914,-122.42271,1,37.6,-122.60000000000001,y
Kin Khao,4,2136,2,37.785267,-122.40951,1,37.6,-122.60000000000001,y
Kin Khao,4,2136,2,37.785267,-122.40951,1,37.6,-122.60000000000001,y
Sons & Daughters,4,721,4,37.79037,-122.40917,1,37.6,-122.60000000000001,y
Mister Jiu's,3.5,839,4,37.79371,-122.406654,1,37.6,-122.60000000000001,y
jū-ni,4.5,438,4,37.77672,-122.43886,1,37.6,-122.60000000000001,y
The Progress,4,930,4,37.78371,-122.43282,1,37.6,-122.60000000000001,y
State Bird Provisions,4,2904,3,37.783737,-122.43283,1,37.6,-122.60000000000001,y
Octavia,4,614,3,37.787857,-122.42709,1,37.6,-122.60000000000001,y
SPQR,3.5,2013,3,37.78732,-122.43375,1,37.6,-122.60000000000001,y
Kinjo,4,137,4,37.79699,-122.422005,1,37.6,-122.60000000000001,y
