name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,yelp url
Kin Khao,2019.0,37.785267,-122.40951,San Francisco,California,94102,Thai,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,1.0,http://www.yelp.com/biz/kin-khao-san-francisco-2
Michael Mina,2019.0,37.79349,-122.399574,San Francisco,California,94102,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina,1.0,https://www.yelp.com/biz/michael-mina-san-francisco-san-francisco-6?osq=Michael+Mina
Sons & Daughters,2019.0,37.79037,-122.40917,San Francisco,California,94108,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,1.0,https://www.yelp.com/biz/sons-and-daughters-san-francisco
Mister Jiu's,2019.0,37.79371,-122.406654,San Francisco,California,94108,Chinese,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,1.0,https://www.yelp.com/biz/mister-jius-san-francisco
jū-ni,2019.0,37.77672,-122.43886,San Francisco,California,94117,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,1.0,https://www.yelp.com/biz/j%C5%AB-ni-san-francisco-5
Keiko à Nob Hill,2019.0,37.793106,-122.41445,San Francisco,California,94109,Fusion,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill,1.0,https://www.yelp.com/biz/kin-khao-san-francisco-2
The Progress,2019.0,37.78371,-122.43282,San Francisco,California,94115,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,1.0,https://www.yelp.com/biz/the-progress-san-francisco-2
State Bird Provisions,2019.0,37.783737,-122.43283,San Francisco,California,94115,American,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,1.0,https://www.yelp.com/biz/state-bird-provisions-san-francisco
Octavia,2019.0,37.787857,-122.42709,San Francisco,California,94109,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,1.0,https://www.yelp.com/biz/octavia-san-francisco
SPQR,2019.0,37.78732,-122.43375,San Francisco,California,94115,Italian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,1.0,https://www.yelp.com/biz/spqr-san-francisco
Lord Stanley,2019.0,37.79592,-122.42208,San Francisco,California,94109,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley,1.0,https://www.yelp.com/biz/turntable-at-lord-stanley-san-francisco
Kinjo,2019.0,37.79699,-122.422005,San Francisco,California,94109,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,1.0,https://www.yelp.com/biz/kinjo-san-francisco-5?osq=kinjo
Sorrel,2019.0,37.788334,-122.44614,San Francisco,California,94101,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,1.0,https://www.yelp.com/biz/sorrel-san-francisco-3
Gary Danko,2019.0,37.80599,-122.42066,San Francisco,California,94109,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,1.0,https://www.yelp.com/biz/gary-danko-san-francisco
Bar Crenn,2019.0,37.798435,-122.43581,San Francisco,California,94101,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,1.0,https://www.yelp.com/biz/bar-crenn-san-francisco
Spruce,2019.0,37.78772,-122.45264,San Francisco,California,94118,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,1.0,https://www.yelp.com/biz/spruce-san-francisco
Wako,2019.0,37.783035,-122.461525,San Francisco,California,94118,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako,1.0,https://www.yelp.com/biz/wako-japanese-restaurant-san-francisco
Madcap,2019.0,37.974712,-122.56168,San Francisco,California,94960,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,1.0,https://www.yelp.com/biz/madcap-san-anselmo
Aubergine,2019.0,36.55406,-121.924355,Monterey,California,93921,Contemporary,$$$$,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,1.0,https://www.yelp.com/biz/aubergine-carmel-by-the-sea-2?osq=auberge+du+soleil
Kenzo,2019.0,38.29924,-122.28928,San Francisco,California,94559,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,1.0,https://www.yelp.com/biz/kenzo-napa-napa?osq=kenzo
La Toque,2019.0,38.30351,-122.28349,San Francisco,California,94573,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,1.0,https://www.yelp.com/biz/la-toque-napa?osq=la+toque
Bouchon,2019.0,38.40258,-122.3619,San Francisco,California,94599,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1.0,https://www.yelp.com/biz/bouchon-yountville?osq=bouchon
Auberge du Soleil,2019.0,38.49199,-122.40534,San Francisco,California,94573,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1.0,https://www.yelp.com/biz/auberge-du-soleil-rutherford-2?osq=auberge+du+soleil
Farmhouse Inn & Restaurant,2019.0,38.49039,-122.8835,San Francisco,California,95436,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,1.0,https://www.yelp.com/biz/farmhouse-inn-forestville-2?osq=farmhouse+inn
Madrona Manor,2019.0,38.60428,-122.88647,San Francisco,California,95448,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,1.0,https://www.yelp.com/biz/madrona-manor-healdsburg-2?osq=madrona+manor
