name,rating,review_count,price,categories,city,state,zip_code,latitude,longitude,address,url
Barmini_By_José_Andrés,4.5,449,4,"New_American, Cocktail_Bars","Washington, DC",DC,20004,38.8962604,-77.0238351,"501 9th St NW Washington, DC 20004",https://www.yelp.com/biz/barmini-by-jos%C3%A9-andr%C3%A9s-washington-4?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Truluck's_Ocean's_Finest_Seafood_&_Crab,4,154,3,"Seafood, Steakhouses, ","Washington, DC",DC,20001,38.90194328,-77.02209525,"700 K St NW Ste 70 Washington, DC 20001",https://www.yelp.com/biz/trulucks-oceans-finest-seafood-and-crab-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Donburi,4,145,2,Japanese,"Washington, DC",DC,20036,38.904857,-77.043713,"1134 19th St NW Washington, DC 20036",https://www.yelp.com/biz/donburi-washington-4?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Bistro_Du_Jour,4,34,2,"French, Coffee_and_Tea","Washington, DC",DC,20024,38.87957,-77.02532,"99 District Square SW Washington, DC 20024",https://www.yelp.com/biz/bistro-du-jour-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Tail_Up_Goat,4.5,731,3,"Cocktail_Bars, New_American, Italian","Washington, DC",DC,20009,38.92358819,-77.04312971,"1827 Adams Mill Rd NW Washington, DC 20009",https://www.yelp.com/biz/tail-up-goat-washington?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Gogi_Yogi,3.5,239,2,"Korean, Barbeque","Washington, DC",DC,20001,38.9163,-77.02272,"1921 8th St NW Ste 115 Washington, DC 20001",https://www.yelp.com/biz/gogi-yogi-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
The_Capital_Grille,4.5,926,3,"Steakhouses, Seafood, Wine_Bars","Washington, DC",DC,20004,38.893165,-77.02014588,"601 Pennsylvania Ave NW Washington, DC 20004",https://www.yelp.com/biz/the-capital-grille-washington-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Roaming_Rooster,4.5,543,2,"ChickenShop, American_Traditional","Washington, DC",DC,20018,38.92947164,-76.96055654,"3176 Bladensburg Rd NE Washington, DC 20018",https://www.yelp.com/biz/roaming-rooster-washington-5?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Masseria,4,387,4,"Italian, Cocktail_Bars","Washington, DC",DC,20002,38.90968,-76.99915,"1340 4th St NE Washington, DC 20002",https://www.yelp.com/biz/masseria-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Bammy's,4.5,133,2,Caribbean,"Washington, DC",DC,20003,38.87326789,-77.00160105,"301 Water St SE Ste 115 Washington, DC 20003",https://www.yelp.com/biz/bammys-washington-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
