name,yelp_url,review_count,rating,price_rating,year,latitude,longitude,city,region,zipCode,cuisine,url,stars
Commonwealth,http://www.yelp.com/biz/commonwealth-san-francisco,1048,4,4,2019,37.761395,-122.41946,San_Francisco,California,94110,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth,1
Luce,http://www.yelp.com/biz/luce-san-francisco,771,4,3,2019,37.78194,-122.40498,San_Francisco,California,94103,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce,1
Birdsong,https://www.yelp.com/biz/birdsong-san-francisco?osq=birdsong,326,4.5,4,2019,37.779495,-122.41048,San_Francisco,California,94101,American,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,1
In_Situ,https://www.yelp.com/biz/in-situ-san-francisco?osq=In+Situ,497,3.5,3,2019,37.785633,-122.40113,San_Francisco,California,94103,International,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ,1
Hashiri,https://www.yelp.com/biz/hashiri-san-francisco?osq=hashiri,120,4.5,4,2019,37.783062,-122.40754,San_Francisco,California,94103,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,1
Angler,https://www.yelp.com/biz/angler-san-francisco,409,3.5,4,2019,37.793167,-122.39213,San_Francisco,California,94101,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,1
Rich_Table,https://www.yelp.com/biz/rich-table-san-francisco,1358,4,3,2019,37.774914,-122.42271,San_Francisco,California,94102,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table,1
Kin_Khao,http://www.yelp.com/biz/kin-khao-san-francisco-2,2136,4,2,2019,37.785267,-122.40951,San_Francisco,California,94102,Thai,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,1
Kin_Khao,http://www.yelp.com/biz/kin-khao-san-francisco-2,2136,4,2,2019,37.785267,-122.40951,San_Francisco,California,94102,Thai,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,1
Sons_&_Daughters,https://www.yelp.com/biz/sons-and-daughters-san-francisco,721,4,4,2019,37.79037,-122.40917,San_Francisco,California,94108,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,1
Mister_Jiu's,https://www.yelp.com/biz/mister-jius-san-francisco,839,3.5,4,2019,37.79371,-122.406654,San_Francisco,California,94108,Chinese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,1
jū-ni,https://www.yelp.com/biz/j%C5%AB-ni-san-francisco-5,438,4.5,4,2019,37.77672,-122.43886,San_Francisco,California,94117,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,1
The_Progress,https://www.yelp.com/biz/the-progress-san-francisco-2,930,4,4,2019,37.78371,-122.43282,San_Francisco,California,94115,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,1
State_Bird_Provisions,https://www.yelp.com/biz/state-bird-provisions-san-francisco,2904,4,3,2019,37.783737,-122.43283,San_Francisco,California,94115,American,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,1
Octavia,https://www.yelp.com/biz/octavia-san-francisco,614,4,3,2019,37.787857,-122.42709,San_Francisco,California,94109,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,1
