name,year,latitude,longitude,city,region,zipCode,cuisine,price_range,url,stars
Shin_Sushi,2019,34.15784,-118.49415,Los_Angeles,California,91436,Japanese,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1
Rustic_Canyon,2019,34.024952,-118.49118,Los_Angeles,California,90401,Californian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1
Dialogue,2019,34.01679,-118.49748,Los_Angeles,California,90401,Contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,1
Kato,2019,34.041683,-118.460915,Los_Angeles,California,90025,Asian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1
CUT,2019,34.067036,-118.401024,Los_Angeles,California,90212,Steakhouse,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,1
Nozawa_Bar,2019,34.0683,-118.39849,Los_Angeles,California,90210,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1
Shunji,2019,34.028496,-118.45195,Los_Angeles,California,90064,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,1
Maude,2019,34.064346,-118.39904,Los_Angeles,California,90212,Contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1
Mori_Sushi,2019,34.033398,-118.44229,Los_Angeles,California,90064,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1
Trois_Mec,2019,34.084255,-118.33851,Los_Angeles,California,90028,Contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,1
Osteria_Mozza,2019,34.08342,-118.338974,Los_Angeles,California,90028,Italian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1
Kali,2019,34.083443,-118.32455,Los_Angeles,California,90028,Californian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,1
Le_Comptoir,2019,34.06354,-118.30057,Los_Angeles,California,90020,Californian,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1
Q_Sushi,2019,34.046883,-118.255844,Los_Angeles,California,90017,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1
Shibumi,2019,34.044155,-118.256134,Los_Angeles,California,90014,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1
Hayato,2019,34.03311,-118.24265,Los_Angeles,California,90001,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1
Bistro_Na's,2019,34.104412,-118.07159,Los_Angeles,California,91780,Chinese,2,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1
Orsa_&_Winston,2019,33.92145,-118.275406,Los_Angeles,California,90013,Fusion,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1
Taco_María,2019,33.69475,-117.924965,Costa_Mesa,California,92626,Mexican,3,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,1
Hana_re,2019,33.67759,-117.886566,Costa_Mesa,California,92626,Japanese,4,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,1
Addison,2019,32.939903,-117.20013,San_Diego,California,92130,Contemporary,4,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1
Parachute,2019,41.94483,-87.70638,Chicago,Chicago,60618,Fusion,2,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,1
Goosefoot,2019,41.96856,-87.69596,Chicago,Chicago,60625,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,1
Elizabeth,2019,41.969555,-87.688736,Chicago,Chicago,60625,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,1
