name,review_count,rating,price_rating,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,yelp_url
Octavia,614,4,3,2019,37.787857,-122.42709,San_Francisco,California,94109,Californian,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,1,https://www.yelp.com/biz/octavia-san-francisco
SPQR,2013,3.5,3,2019,37.78732,-122.43375,San_Francisco,California,94115,Italian,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,1,https://www.yelp.com/biz/spqr-san-francisco
Kinjo,137,4,4,2019,37.79699,-122.422005,San_Francisco,California,94109,Japanese,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,1,https://www.yelp.com/biz/kinjo-san-francisco-5?osq=kinjo
Sorrel,284,4,4,2019,37.788334,-122.44614,San_Francisco,California,94101,Californian,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,1,https://www.yelp.com/biz/sorrel-san-francisco-3
Gary_Danko,5598,4.5,4,2019,37.80599,-122.42066,San_Francisco,California,94109,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,1,https://www.yelp.com/biz/gary-danko-san-francisco
Bar_Crenn,99,4,4,2019,37.798435,-122.43581,San_Francisco,California,94101,French,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,1,https://www.yelp.com/biz/bar-crenn-san-francisco
Spruce,2054,4,4,2019,37.78772,-122.45264,San_Francisco,California,94118,Californian,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,1,https://www.yelp.com/biz/spruce-san-francisco
Madcap,311,4.5,4,2019,37.974712,-122.56168,San_Francisco,California,94960,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,1,https://www.yelp.com/biz/madcap-san-anselmo
Aubergine,260,4,4,2019,36.55406,-121.924355,Monterey,California,93921,Contemporary,4,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,1,https://www.yelp.com/biz/aubergine-carmel-by-the-sea-2?osq=auberge+du+soleil
La_Toque,675,3.5,4,2019,38.30351,-122.28349,San_Francisco,California,94573,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,1,https://www.yelp.com/biz/la-toque-napa?osq=la+toque
Bouchon,3178,4,3,2019,38.40258,-122.3619,San_Francisco,California,94599,French,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1,https://www.yelp.com/biz/bouchon-yountville?osq=bouchon
